N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"88,800","5,900",+7.12%,100,"5,301,167","5,969,783",55.53,"57,519,442",24.25,8.69,
2,SK하이닉스,"138,000","3,500",+2.60%,"5,000","1,004,643","728,002",50.02,"8,669,149",35.01,4.25,
3,LG화학,"999,000","37,000",+3.85%,"5,000","705,218","70,592",43.09,"877,155",93.34,1.84,
4,삼성전자우,"77,800","3,500",+4.71%,100,"640,206","822,887",81.41,"8,161,739",21.25,N/A,
5,삼성바이오로직스,"837,000","18,000",+2.20%,"2,500","553,801","66,165",10.46,"258,818",155.84,4.77,
6,현대차,"246,000","40,000",+19.42%,"5,000","525,624","213,668",30.99,"19,722,587",58.78,4.32,
7,NAVER,"312,000","22,500",+7.77%,100,"512,502","164,263",55.92,"3,147,256",62.11,10.56,
8,삼성SDI,"739,000","41,000",+5.87%,"5,000","508,170","68,765",44.26,"837,469",252.13,2.94,
9,셀트리온,"367,000","9,500",+2.66%,"1,000","495,442","134,998",20.81,"1,694,622",99.19,11.19,
10,카카오,"434,000","31,500",+7.83%,500,"383,916","88,460",32.61,"2,446,645",-481.69,-5.81,
11,현대모비스,"359,500","55,000",+18.06%,"5,000","341,722","95,055",42.98,"5,273,331",21.92,7.28,
12,삼성물산,"151,000","6,000",+4.14%,100,"282,199","186,887",14.45,"2,036,984",25.30,4.77,
13,기아차,"68,300","5,300",+8.41%,"5,000","276,863","405,363",37.06,"25,223,596",31.74,6.50,
14,SK이노베이션,"283,000","20,000",+7.60%,"5,000","261,678","92,466",24.24,"3,363,732",-10.76,-0.20,
15,POSCO,"294,500","3,500",+1.20%,"5,000","256,765","87,187",50.73,"574,512",26.98,4.18,
16,LG생활건강,"1,638,000","29,000",+1.80%,"5,000","255,826","15,618",45.49,"50,677",36.70,20.32,
17,LG전자,"147,500","2,500",-1.67%,"5,000","241,381","163,648",35.40,"9,370,100",32.04,0.22,
18,엔씨소프트,"995,000","48,000",+5.07%,500,"218,443","21,954",48.74,"195,624",38.93,14.72,
19,SK텔레콤,"265,000","5,000",-1.85%,500,"213,976","80,746",34.31,"1,001,272",19.51,3.92,
20,SK,"292,500","3,500",-1.18%,200,"205,804","70,360",21.73,"1,133,324","1,234.18",4.31,
21,KB금융,"46,500",500,+1.09%,"5,000","193,351","415,808",65.65,"3,689,162",5.67,8.92,
22,LG,"105,500","2,000",-1.86%,"5,000","182,048","172,557",34.47,"1,741,137",14.91,5.87,
23,신한지주,"33,650",100,-0.30%,"5,000","173,811","516,527",57.56,"4,740,074",4.83,9.09,
24,한국전력,"27,000",50,-0.18%,"5,000","173,330","641,964",17.16,"7,169,817",187.50,-3.42,
25,삼성에스디에스,"219,500","14,500",+7.07%,500,"169,844","77,378",11.77,"1,505,604",32.40,11.76,
26,삼성생명,"80,700",100,+0.12%,500,"161,400","200,000",12.18,"1,153,890",16.21,3.26,
27,삼성전기,"193,000","11,000",+6.04%,"5,000","144,159","74,694",34.91,"1,464,771",39.54,10.18,
28,SK바이오팜,"159,500","1,000",+0.63%,500,"124,910","78,313",5.11,"697,737",-145.00,-313.66,
29,아모레퍼시픽,"203,500","3,500",+1.75%,500,"118,963","58,458",32.00,"382,786",327.17,5.36,
30,넷마블,"134,000","4,500",+3.47%,100,"115,033","85,845",22.67,"1,135,661",54.27,3.54,
31,KT&G,"83,400",600,+0.72%,"5,000","114,502","137,292",40.14,"1,139,375",11.64,12.39,
32,하나금융지주,"37,700",900,+2.45%,"5,000","113,191","300,242",65.94,"3,623,867",4.61,8.77,
33,롯데케미칼,"301,000","3,000",-0.99%,"5,000","103,169","34,275",26.70,"448,377",88.97,5.51,
34,한온시스템,"18,450","2,100",+12.84%,100,"98,486","533,800",20.28,"14,496,972",70.15,14.98,
35,한화솔루션,"56,700","1,300",+2.35%,"5,000","90,643","159,864",19.50,"5,638,172",-100.89,-4.02,
36,삼성화재,"190,500","1,500",+0.79%,500,"90,249","47,375",44.52,"248,187",13.93,4.85,
